#d=8 K=8 warmup=32 tail=8 PRIME_P=6
round,bit,lat_cycles
0,1,206
1,1,206
2,0,182
3,1,206
4,1,206
5,1,206
6,1,206
7,0,182
8,1,206
9,0,182
10,1,206
11,0,182
12,1,206
13,1,206
14,0,182
15,1,206
16,1,230
17,0,230
18,1,206
19,1,206
20,1,230
21,1,230
22,1,230
23,0,230
24,1,206
25,1,230
26,1,230
27,0,230
28,1,230
29,1,230
30,1,230
31,1,230
32,1,230
33,1,230
34,0,182
35,0,182
36,1,206
37,0,182
38,1,206
39,0,182
40,1,206
41,1,206
42,1,230
43,1,206
44,1,206
45,1,206
46,1,206
47,0,182
48,1,206
49,0,182
50,1,254
51,1,230
52,1,230
53,0,254
54,1,230
55,0,182
56,1,254
57,0,182
58,1,206
59,1,206
60,1,206
61,1,230
62,1,230
63,0,262
