#d=16 K=16 warmup=32 tail=8
round,bit,lat_cycles
0,1,708
1,1,708
2,0,708
3,1,708
4,1,708
5,1,708
6,1,708
7,0,708
8,1,708
9,0,708
10,1,708
11,0,708
12,1,708
13,1,708
14,0,708
15,1,708
16,1,708
17,0,708
18,1,708
19,1,708
20,1,708
21,1,708
22,1,708
23,0,708
24,1,708
25,1,708
26,1,708
27,0,708
28,1,708
29,1,708
30,1,708
31,1,708
32,1,708
33,1,708
34,0,708
35,0,708
36,1,708
37,0,708
38,1,708
39,0,708
40,1,708
41,1,708
42,1,708
43,1,708
44,1,708
45,1,708
46,1,708
47,0,708
48,1,708
49,0,708
50,1,708
51,1,708
52,1,708
53,0,708
54,1,708
55,0,708
56,1,708
57,0,708
58,1,708
59,1,708
60,1,708
61,1,708
62,1,708
63,0,716
