#d=8 K=8 warmup=32 tail=8 PRIME_P=6
round,bit,lat_cycles
0,1,374
1,1,374
2,0,182
3,1,374
4,1,374
5,1,374
6,1,374
7,0,182
8,1,374
9,0,182
10,1,374
11,0,182
12,1,374
13,1,374
14,0,182
15,1,374
16,1,374
17,0,182
18,1,374
19,1,374
20,1,374
21,1,374
22,1,374
23,0,182
24,1,374
25,1,374
26,1,374
27,0,182
28,1,374
29,1,374
30,1,374
31,1,374
32,1,374
33,1,374
34,0,182
35,0,182
36,1,374
37,0,182
38,1,374
39,0,182
40,1,374
41,1,374
42,1,374
43,1,374
44,1,374
45,1,374
46,1,374
47,0,182
48,1,374
49,0,182
50,1,374
51,1,374
52,1,374
53,0,182
54,1,374
55,0,182
56,1,374
57,0,182
58,1,374
59,1,374
60,1,374
61,1,374
62,1,374
63,0,190
