round,bit,lat_cycles
0,1,88
1,1,88
2,0,88
3,1,88
4,1,88
5,1,88
6,1,88
7,0,88
8,1,88
9,0,88
10,1,88
11,0,88
12,1,88
13,1,88
14,0,88
15,1,88
16,1,88
17,0,88
18,1,88
19,1,88
20,1,88
21,1,88
22,1,88
23,0,88
24,1,88
25,1,88
26,1,88
27,0,88
28,1,88
29,1,88
30,1,88
31,1,88
32,1,88
33,1,88
34,0,88
35,0,88
36,1,88
37,0,88
38,1,88
39,0,88
40,1,88
41,1,88
42,1,88
43,1,88
44,1,88
45,1,88
46,1,88
47,0,88
48,1,88
49,0,88
50,1,88
51,1,88
52,1,88
53,0,88
54,1,88
55,0,88
56,1,88
57,0,88
58,1,88
59,1,88
60,1,88
61,1,88
62,1,88
63,0,88
