round,bit,lat_cycles
0,1,110
1,1,110
2,0,110
3,1,110
4,1,110
5,1,110
6,1,110
7,0,110
8,1,110
9,0,110
10,1,110
11,0,110
12,1,110
13,1,110
14,0,110
15,1,110
16,1,110
17,0,110
18,1,110
19,1,110
20,1,110
21,1,110
22,1,110
23,0,110
24,1,110
25,1,110
26,1,110
27,0,110
28,1,110
29,1,110
30,1,110
31,1,110
32,1,110
33,1,110
34,0,110
35,0,110
36,1,110
37,0,110
38,1,110
39,0,110
40,1,110
41,1,110
42,1,110
43,1,110
44,1,110
45,1,110
46,1,110
47,0,110
48,1,110
49,0,110
50,1,110
51,1,110
52,1,110
53,0,110
54,1,110
55,0,110
56,1,110
57,0,110
58,1,110
59,1,110
60,1,110
61,1,110
62,1,110
63,0,110
